Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762785061,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762785062,2,,Aggregated,0.000000,0.000000,710,710,710,710,710,710,710,710,710,710,710,1,0,707.1864160097903,707.1864160097903,707.1864160097903,707.1864160097903,529.0
1762785063,4,,Aggregated,0.000000,0.000000,710,710,1500,1500,1500,1500,1500,1500,1500,1500,1500,4,0,450.0,767.2424897573364,437.83741700462997,1469.7398340067593,399.5
1762785064,6,,Aggregated,0.000000,0.000000,710,730,1300,1300,1500,1500,1500,1500,1500,1500,1500,7,0,710.0,806.2425597163383,437.83741700462997,1469.7398340067593,455.0
1762785065,8,,Aggregated,1.000000,0.000000,730,1100,1300,1500,2000,2000,2000,2000,2000,2000,2000,10,0,710.0,943.6404960040818,437.83741700462997,1976.7646250111284,2624.2
1762785066,10,,Aggregated,2.000000,0.000000,690,730,1100,1100,1500,2000,2000,2000,2000,2000,2000,16,0,580.0,781.7703620648899,151.85345799545757,1976.7646250111284,2445.1875
1762785067,12,,Aggregated,2.333333,0.000000,540,710,1000,1100,1500,2000,2000,2000,2000,2000,2000,19,0,540.0,723.7183794763711,151.85345799545757,1976.7646250111284,2115.2105263157896
1762785068,14,,Aggregated,2.500000,0.000000,540,690,730,1000,1300,1500,2000,2000,2000,2000,2000,21,0,540.0,686.6910853832018,144.8714580037631,1976.7646250111284,2450.6666666666665
1762785069,16,,Aggregated,3.200000,0.000000,540,710,1000,1100,1300,1500,2000,2000,2000,2000,2000,26,0,520.0,670.3677949251589,144.8714580037631,1976.7646250111284,2020.8076923076924
1762785070,18,,Aggregated,3.000000,0.000000,540,690,1000,1100,1200,1500,2000,2000,2000,2000,2000,33,0,540.0,658.0839230013997,137.8531250084052,1976.7646250111284,2323.6060606060605
1762785071,20,,Aggregated,3.000000,0.000000,540,710,1100,1100,1200,1500,2000,2000,2000,2000,2000,35,0,540.0,668.7762250013683,137.8531250084052,1976.7646250111284,2221.285714285714
1762785072,22,,Aggregated,3.250000,0.000000,540,690,1100,1100,1200,1500,2000,2000,2000,2000,2000,40,0,520.0,647.2038312513178,137.8531250084052,1976.7646250111284,2533.475
1762785073,24,,Aggregated,3.500000,0.000000,520,600,730,1100,1200,1300,2000,2000,2000,2000,2000,50,0,520.0,609.259996660985,125.46208398998715,1976.7646250111284,2509.98
1762785074,26,,Aggregated,3.500000,0.000000,520,580,730,1100,1100,1300,1500,2000,2000,2000,2000,51,0,520.0,606.380309647933,125.46208398998715,1976.7646250111284,2471.2156862745096
1762785075,28,,Aggregated,4.300000,0.000000,520,580,730,1100,1100,1300,1500,2000,2000,2000,2000,54,0,520.0,607.2761990934076,125.46208398998715,1976.7646250111284,2344.0
1762785076,30,,Aggregated,4.400000,0.000000,530,590,730,1100,1100,1200,1500,2000,2000,2000,2000,64,0,520.0,598.582580094444,125.46208398998715,1976.7646250111284,2187.234375
1762785077,32,,Aggregated,4.300000,0.000000,520,570,690,1100,1100,1200,1500,2000,2000,2000,2000,69,0,520.0,573.2733979570237,121.80820800131187,1976.7646250111284,2207.753623188406
1762785078,34,,Aggregated,4.300000,0.000000,520,550,690,1000,1100,1200,1500,2000,2000,2000,2000,74,0,500.0,558.7743795140586,119.35745899972972,1976.7646250111284,2065.9324324324325
1762785079,36,,Aggregated,4.900000,0.000000,500,550,650,730,1100,1200,1500,2000,2000,2000,2000,83,0,500.0,539.0740160729332,119.35745899972972,1976.7646250111284,1997.1566265060242
1762785080,38,,Aggregated,4.900000,0.000000,490,540,590,710,1100,1200,1500,2000,2000,2000,2000,89,0,490.0,524.7830636861468,119.35745899972972,1976.7646250111284,1868.5056179775281
1762785081,40,,Aggregated,5.600000,0.000000,490,540,590,710,1100,1200,1500,2000,2000,2000,2000,93,0,490.0,526.8383745704302,119.35745899972972,1976.7646250111284,1793.8709677419354
1762785082,42,,Aggregated,5.700000,0.000000,490,540,600,730,1100,1200,1500,2000,2000,2000,2000,100,0,490.0,526.1907941904792,119.35745899972972,1976.7646250111284,1797.15
1762785083,44,,Aggregated,5.700000,0.000000,500,540,590,710,1100,1100,1300,1500,2000,2000,2000,109,0,500.0,522.0328257065383,119.35745899972972,1976.7646250111284,1963.8715596330276
1762785084,46,,Aggregated,5.700000,0.000000,490,540,600,730,1100,1200,1300,1500,2000,2000,2000,115,0,490.0,519.5592648609106,119.35745899972972,1976.7646250111284,1870.7739130434782
1762785085,48,,Aggregated,6.100000,0.000000,500,540,600,730,1100,1100,1300,1500,2000,2000,2000,122,0,500.0,524.1394532132573,119.35745899972972,1976.7646250111284,1776.6311475409836
1762785086,50,,Aggregated,6.100000,0.000000,500,540,600,730,1100,1100,1300,1500,2000,2000,2000,130,0,500.0,521.0565128233821,119.35745899972972,1976.7646250111284,1766.4153846153847
1762785087,52,,Aggregated,6.800000,0.000000,490,540,590,690,1100,1100,1300,1500,2000,2000,2000,137,0,490.0,513.5516712482828,119.35745899972972,1976.7646250111284,1758.7810218978102
1762785088,54,,Aggregated,6.900000,0.000000,490,540,600,690,1100,1100,1300,1500,2000,2000,2000,147,0,490.0,514.1470535851533,119.35745899972972,1976.7646250111284,1650.312925170068
1762785089,56,,Aggregated,6.900000,0.000000,490,540,600,690,1100,1100,1300,1500,2000,2000,2000,151,0,490.0,510.6155709338464,119.35745899972972,1976.7646250111284,1684.794701986755
1762785090,58,,Aggregated,7.200000,0.000000,500,540,600,690,1100,1200,1300,1500,2000,2000,2000,162,0,490.0,512.7566597346478,119.35745899972972,1976.7646250111284,1646.641975308642
1762785091,60,,Aggregated,6.900000,0.000000,500,550,600,690,1100,1200,1300,1500,2000,2000,2000,172,0,500.0,514.9269014303194,119.35745899972972,1976.7646250111284,1560.5232558139535
1762785092,62,,Aggregated,7.200000,0.000000,500,550,590,690,1100,1200,1300,1500,2000,2000,2000,181,0,500.0,512.8421989229034,119.35745899972972,1976.7646250111284,1551.292817679558
1762785093,64,,Aggregated,7.800000,0.000000,500,540,590,690,1100,1200,1300,1500,2000,2000,2000,190,0,500.0,511.37464125809186,119.35745899972972,1976.7646250111284,1661.4473684210527
1762785094,66,,Aggregated,7.900000,0.000000,500,550,600,690,1100,1200,1300,1500,2000,2000,2000,200,0,500.0,512.0374491951952,119.35745899972972,1976.7646250111284,1642.8
1762785095,68,,Aggregated,8.000000,0.000000,500,540,590,650,1100,1200,1300,1400,2000,2000,2000,209,0,500.0,508.12197271311146,119.35745899972972,1976.7646250111284,1682.6602870813397
1762785096,70,,Aggregated,8.100000,0.000000,500,540,590,680,1100,1200,1300,1500,2000,2000,2000,219,0,500.0,507.4160257126465,119.35745899972972,1976.7646250111284,1713.662100456621
1762785097,72,,Aggregated,8.600000,0.000000,500,550,590,680,1100,1200,1300,1500,2000,2000,2000,232,0,500.0,507.60559232787335,119.35745899972972,1976.7646250111284,1721.823275862069
