Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762792361,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762792362,2,,Aggregated,0.000000,0.000000,570,570,570,570,570,570,570,570,570,570,570,1,0,573.3072910002193,573.3072910002193,573.3072910002193,573.3072910002193,529.0
1762792363,4,,Aggregated,0.000000,0.000000,570,570,1200,1200,1200,1200,1200,1200,1200,1200,1200,3,1,570.0,603.7640000001071,78.3417500001633,1159.6429589999389,367.0
1762792364,6,,Aggregated,1.000000,0.000000,920,1200,1400,1400,1600,1600,1600,1600,1600,1600,1600,8,3,580.0,802.0554062500196,78.3417500001633,1573.7004160000652,346.75
1762792365,8,,Aggregated,1.500000,0.500000,600,920,1400,1400,1600,1700,1700,1700,1700,1700,1700,12,4,590.0,783.2284757499792,78.3417500001633,1705.159999999978,367.0
1762792366,10,,Aggregated,1.500000,0.500000,590,920,1200,1400,1600,1700,1700,1700,1700,1700,1700,14,4,580.0,737.3951488571038,78.3417500001633,1705.159999999978,390.7142857142857
1762792367,12,,Aggregated,1.666667,0.333333,580,600,1200,1200,1600,1700,1700,1700,1700,1700,1700,16,5,570.0,677.7705000624508,78.3417500001633,1705.159999999978,377.875
1762792368,14,,Aggregated,2.800000,0.800000,580,680,1100,1200,1600,1700,1700,1700,1700,1700,1700,19,6,580.0,670.7807171578679,78.3417500001633,1705.159999999978,376.57894736842104
1762792369,16,,Aggregated,2.666667,0.833333,570,600,1100,1200,1400,1600,1700,1700,1700,1700,1700,24,9,470.0,628.0883055833139,78.3417500001633,1705.159999999978,347.9166666666667
1762792370,18,,Aggregated,2.666667,0.833333,470,600,1000,1100,1400,1600,1700,1700,1700,1700,1700,28,10,470.0,611.5578854285592,78.3417500001633,1705.159999999978,356.85714285714283
1762792371,20,,Aggregated,2.428571,0.714286,470,590,920,1000,1200,1600,1700,1700,1700,1700,1700,31,12,470.0,575.4844018709616,78.3417500001633,1705.159999999978,342.2903225806452
1762792372,22,,Aggregated,3.111111,1.111111,470,680,750,1000,1200,1600,1700,1700,1700,1700,1700,38,16,470.0,571.262904578936,78.3417500001633,1705.159999999978,325.8421052631579
1762792373,24,,Aggregated,3.100000,1.200000,470,590,750,920,1200,1400,1700,1700,1700,1700,1700,42,18,470.0,543.0581051190356,78.3417500001633,1705.159999999978,322.23809523809524
1762792374,26,,Aggregated,3.400000,1.500000,460,570,690,750,1200,1400,1700,1700,1700,1700,1700,48,23,450.0,502.5312542916538,78.3417500001633,1705.159999999978,297.5416666666667
1762792375,28,,Aggregated,3.400000,1.500000,460,580,690,920,1200,1400,1700,1700,1700,1700,1700,49,23,460.0,513.8547048775355,78.3417500001633,1705.159999999978,302.3469387755102
1762792376,30,,Aggregated,4.200000,2.100000,460,580,750,1000,1200,1400,1600,1700,1700,1700,1700,55,26,460.0,519.4842620908854,78.3417500001633,1705.159999999978,300.7818181818182
