Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762788954,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762788955,2,,Aggregated,0.000000,0.000000,460,460,480,480,480,480,480,480,480,480,480,3,1,460.0,341.6895416666345,81.65295799994965,479.8473329999524,367.0
1762788956,4,,Aggregated,0.000000,0.000000,480,480,620,620,630,630,630,630,630,630,630,6,2,460.0,392.0543679999658,79.61024999985966,625.0518330000432,367.0
1762788957,6,,Aggregated,0.000000,0.000000,480,550,550,620,630,630,630,630,630,630,630,9,3,480.0,399.84562488886394,79.61024999985966,625.0518330000432,367.0
1762788958,8,,Aggregated,1.500000,0.500000,480,550,620,630,670,670,670,670,670,670,670,13,5,480.0,400.43571792305625,79.61024999985966,668.4425420000935,342.0769230769231
1762788959,10,,Aggregated,2.000000,0.666667,550,580,620,630,670,670,670,670,670,670,670,15,5,550.0,424.6903888000058,79.61024999985966,668.4425420000935,367.53333333333336
1762788960,12,,Aggregated,2.250000,0.750000,550,550,580,620,670,670,670,670,670,670,670,18,6,510.0,417.27848605555414,79.61024999985966,668.4425420000935,367.8888888888889
1762788961,14,,Aggregated,2.600000,1.000000,550,580,620,630,630,670,670,670,670,670,670,21,7,550.0,421.64419438095786,79.61024999985966,668.4425420000935,368.14285714285717
1762788962,16,,Aggregated,2.666667,1.000000,480,550,580,630,630,670,670,670,670,670,670,25,9,480.0,399.4875082800081,79.61024999985966,668.4425420000935,355.32
1762788963,18,,Aggregated,2.571429,0.857143,480,580,620,630,670,670,670,670,670,670,670,29,11,480.0,396.93982468967425,79.61024999985966,668.4425420000935,346.0344827586207
1762788964,20,,Aggregated,2.625000,0.875000,470,550,580,630,670,670,670,670,670,670,670,35,15,470.0,368.4163059714397,79.61024999985966,668.4425420000935,322.0857142857143
1762788965,22,,Aggregated,2.777778,1.000000,460,520,580,620,670,670,670,670,670,670,670,39,17,460.0,358.88112394872434,79.61024999985966,668.4425420000935,318.5897435897436
1762788966,24,,Aggregated,2.900000,1.100000,460,520,550,580,630,670,670,670,670,670,670,46,22,460.0,340.0299936521823,79.61024999985966,668.4425420000935,297.95652173913044
1762788967,26,,Aggregated,3.500000,1.500000,460,520,550,580,630,670,670,680,680,680,680,51,25,460.0,336.31005229411875,79.35316699990835,680.6713339999533,292.1764705882353
1762788968,28,,Aggregated,3.600000,1.600000,460,520,550,580,630,670,670,680,680,680,680,53,25,460.0,343.3938082075441,79.35316699990835,680.6713339999533,301.2641509433962
1762788970,30,,Aggregated,4.000000,2.000000,430,520,550,580,630,670,670,680,680,680,680,58,29,290.0,330.92467674137436,79.35316699990835,680.6713339999533,287.44827586206895
