Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762782604,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762782605,5,,Aggregated,0.000000,0.000000,480,480,480,480,480,480,480,480,480,480,480,2,0,130.0,303.0349379987456,125.12054199760314,480.94933399988804,270.0
1762782606,10,,Aggregated,0.000000,0.000000,1200,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,7,0,1200.0,907.3091905697116,125.12054199760314,1441.646082996158,455.57142857142856
1762782607,15,,Aggregated,0.000000,0.000000,1200,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,13,0,1200.0,1003.1733077675409,125.12054199760314,1444.2069590004394,452.6923076923077
1762782608,20,,Aggregated,3.000000,0.000000,1200,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,21,0,1200.0,961.3514147141749,125.12054199760314,1444.2069590004394,433.57142857142856
1762782609,25,,Aggregated,4.333333,0.000000,1200,1300,1300,1400,1400,1500,1600,1600,1600,1600,1600,28,0,1200.0,944.2475610002085,115.47745899588335,1597.4013750092126,403.92857142857144
1762782610,30,,Aggregated,4.500000,0.000000,950,1200,1300,1300,1400,1500,1600,1600,1600,1600,1600,39,0,950.0,911.5521261022271,115.47745899588335,1597.4013750092126,374.94871794871796
1762782611,35,,Aggregated,4.800000,0.000000,1100,1200,1300,1400,1400,1500,1600,1600,1600,1600,1600,44,0,950.0,931.0646477500665,115.47745899588335,1597.4013750092126,369.6363636363636
1762782612,40,,Aggregated,5.333333,0.000000,950,1200,1300,1400,1500,1800,1800,1800,1800,1800,1800,54,0,950.0,960.9226304439492,115.47745899588335,1808.4817919880152,361.3888888888889
1762782613,45,,Aggregated,6.142857,0.000000,950,1300,1400,1400,1600,1800,1800,2100,2100,2100,2100,63,0,950.0,971.3549477926877,115.47745899588335,2054.2733329930343,353.22222222222223
1762782614,50,,Aggregated,5.750000,0.000000,950,1300,1400,1400,1600,1800,1800,2100,2100,2100,2100,69,0,950.0,978.3224801292923,115.47745899588335,2054.2733329930343,354.0144927536232
1762782615,55,,Aggregated,6.444444,0.000000,1100,1300,1400,1400,1600,1800,1800,2100,2100,2100,2100,78,0,1100.0,1008.1506806143294,115.47745899588335,2054.2733329930343,361.3974358974359
1762782616,60,,Aggregated,6.700000,0.000000,1100,1300,1400,1400,1600,1800,1800,2100,2100,2100,2100,90,0,1100.0,1029.7275065100014,115.47745899588335,2054.2733329930343,332.5
